Date,Product,Quantity,Price
2024-04-01,Apple,10,0.5
2024-04-01,Orange,5,0.6
2024-04-02,Apple,8,0.6
2024-04-02,Banana,6,0.4
2024-04-03,Orange,7,0.7
2024-04-03,Apple,12,0.5
2024-04-04,Apple,9,0.5
2024-04-04,Banana,4,0.4
2024-04-05,Orange,6,0.6
2024-04-05,Apple,11,0.5
2024-04-06,Apple,10,0.5
2024-04-06,Orange,5,0.6
2024-04-07,Apple,8,0.6
2024-04-07,Banana,6,0.4
2024-04-08,Orange,7,0.7
2024-04-08,Apple,12,0.5
2024-04-09,Apple,9,0.5
2024-04-09,Banana,4,0.4
2024-04-10,Orange,6,0.6
2024-04-10,Apple,11,0.5
2024-04-11,Apple,10,0.5
2024-04-11,Orange,5,0.6
2024-04-12,Apple,8,0.6
2024-04-12,Banana,6,0.4
2024-04-13,Orange,7,0.7
2024-04-13,Apple,12,0.5
2024-04-14,Apple,9,0.5
2024-04-14,Banana,4,0.4
2024-04-15,Orange,6,0.6
2024-04-15,Apple,11,0.5
2024-04-16,Apple,10,0.5
2024-04-16,Orange,5,0.6
2024-04-17,Apple,8,0.6
2024-04-17,Banana,6,0.4
2024-04-18,Orange,7,0.7
2024-04-18,Apple,12,0.5
2024-04-19,Apple,9,0.5
2024-04-19,Banana,4,0.4
2024-04-20,Orange,6,0.6
2024-04-20,Apple,11,0.5
2024-04-21,Apple,10,0.5
2024-04-21,Orange,5,0.6
2024-04-22,Apple,8,0.6
2024-04-22,Banana,6,0.4
2024-04-23,Orange,7,0.7
2024-04-23,Apple,12,0.5
2024-04-24,Apple,9,0.5
2024-04-24,Banana,4,0.4
2024-04-25,Orange,6,0.6
2024-04-25,Apple,11,0.5
2024-04-26,Apple,10,0.5
2024-04-26,Orange,5,0.6
2024-04-27,Apple,8,0.6
2024-04-27,Banana,6,0.4
2024-04-28,Orange,7,0.7
2024-04-28,Apple,12,0.5
2024-04-29,Apple,9,0.5
2024-04-29,Banana,4,0.4
2024-04-30,Orange,6,0.6
2024-04-30,Apple,11,0.5
2024-05-01,Apple,10,0.5
2024-05-01,Orange,5,0.6
2024-05-02,Apple,8,0.6
2024-05-02,Banana,6,0.4
2024-05-03,Orange,7,0.7
2024-05-03,Apple,12,0.5
2024-05-04,Apple,9,0.5
2024-05-04,Banana,4,0.4
2024-05-05,Orange,6,0.6
2024-05-05,Apple,11,0.5
2024-05-06,Apple,10,0.5
2024-05-06,Orange,5,0.6
2024-05-07,Apple,8,0.6
2024-05-07,Banana,6,0.4
2024-05-08,Orange,7,0.7
2024-05-08,Apple,12,0.5
2024-05-09,Apple,9,0.5
2024-05-09,Banana,4,0.4
2024-05-10,Orange,6,0.6
2024-05-10,Apple,11,0.5
2024-05-11,Apple,10,0.5
2024-05-11,Orange,5,0.6
2024-05-12,Apple,8,0.6
2024-05-12,Banana,6,0.4
2024-05-13,Orange,7,0.7
2024-05-13,Apple,12,0.5
2024-05-14,Apple,9,0.5
2024-05-14,Banana,4,0.4
2024-05-15,Orange,6,0.6
2024-05-15,Apple,11,0.5
